tick,pid,queue,arrival,service,lambda_hat,mu_hat,scheduler_score,chosen,waiting_time,completion_time,throughput,V,drift
0,0,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,1,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,2,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,3,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,4,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,5,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,6,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,7,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,8,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,9,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,10,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,11,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,12,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,13,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,14,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
0,15,0,0.600000,1.000000,0.600000,1.000000,0.000000,0,0.000000,-1.000000,0.000000,0.000000,0.000000
1000,0,0,0.600000,1.000000,0.798336,1.000000,0.000000,1,1.000000,1000.000000,1.000000,5009717.000000,9192.000000
1000,1,179,0.600000,1.000000,0.682133,1.000000,0.000000,0,0.000000,998.000000,1.000000,5009717.000000,9192.000000
1000,2,590,0.600000,1.000000,0.673076,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5009717.000000,9192.000000
1000,3,606,0.600000,1.000000,0.723385,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5009717.000000,9192.000000
1000,4,575,0.600000,1.000000,0.779207,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5009717.000000,9192.000000
1000,5,535,0.600000,1.000000,0.622837,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5009717.000000,9192.000000
1000,6,605,0.600000,1.000000,0.602689,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5009717.000000,9192.000000
1000,7,578,0.600000,1.000000,0.535671,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5009717.000000,9192.000000
1000,8,631,0.600000,1.000000,0.661862,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5009717.000000,9192.000000
1000,9,608,0.600000,1.000000,0.474524,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5009717.000000,9192.000000
1000,10,568,0.600000,1.000000,0.559237,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5009717.000000,9192.000000
1000,11,641,0.600000,1.000000,0.704363,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5009717.000000,9192.000000
1000,12,613,0.600000,1.000000,0.587320,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5009717.000000,9192.000000
1000,13,605,0.600000,1.000000,0.697858,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5009717.000000,9192.000000
1000,14,601,0.600000,1.000000,0.655213,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5009717.000000,9192.000000
1000,15,584,0.600000,1.000000,0.582756,1.000000,0.000000,0,0.000000,-1.000000,1.000000,5009717.000000,9192.000000
2000,0,1,0.600000,1.000000,0.642963,1.000000,0.000000,1,0.000000,2000.000000,1.000000,20629826.000000,26626.000000
2000,1,395,0.600000,1.000000,0.672329,1.000000,0.000000,0,0.000000,1998.000000,1.000000,20629826.000000,26626.000000
2000,2,1235,0.600000,1.000000,0.624389,1.000000,0.000000,0,0.000000,-1.000000,1.000000,20629826.000000,26626.000000
2000,3,1189,0.600000,1.000000,0.836703,1.000000,0.000000,0,0.000000,-1.000000,1.000000,20629826.000000,26626.000000
2000,4,1182,0.600000,1.000000,0.612203,1.000000,0.000000,0,0.000000,-1.000000,1.000000,20629826.000000,26626.000000
2000,5,1140,0.600000,1.000000,0.676010,1.000000,0.000000,0,0.000000,-1.000000,1.000000,20629826.000000,26626.000000
2000,6,1200,0.600000,1.000000,0.834845,1.000000,0.000000,0,0.000000,-1.000000,1.000000,20629826.000000,26626.000000
2000,7,1195,0.600000,1.000000,0.511053,1.000000,0.000000,0,0.000000,-1.000000,1.000000,20629826.000000,26626.000000
2000,8,1230,0.600000,1.000000,0.646634,1.000000,0.000000,0,0.000000,-1.000000,1.000000,20629826.000000,26626.000000
2000,9,1242,0.600000,1.000000,0.809657,1.000000,0.000000,0,0.000000,-1.000000,1.000000,20629826.000000,26626.000000
2000,10,1196,0.600000,1.000000,0.583989,1.000000,0.000000,0,0.000000,-1.000000,1.000000,20629826.000000,26626.000000
2000,11,1275,0.600000,1.000000,0.673156,1.000000,0.000000,0,0.000000,-1.000000,1.000000,20629826.000000,26626.000000
2000,12,1242,0.600000,1.000000,0.674104,1.000000,0.000000,0,0.000000,-1.000000,1.000000,20629826.000000,26626.000000
2000,13,1214,0.600000,1.000000,0.698642,1.000000,0.000000,0,0.000000,-1.000000,1.000000,20629826.000000,26626.000000
2000,14,1208,0.600000,1.000000,0.584859,1.000000,0.000000,0,0.000000,-1.000000,1.000000,20629826.000000,26626.000000
2000,15,1176,0.600000,1.000000,0.663410,1.000000,0.000000,0,0.000000,-1.000000,1.000000,20629826.000000,26626.000000
3000,0,0,0.600000,1.000000,0.655620,1.000000,0.000000,1,0.000000,3000.000000,1.000000,46817241.000000,35986.000000
3000,1,626,0.600000,1.000000,0.700337,1.000000,0.000000,0,0.000000,2999.000000,1.000000,46817241.000000,35986.000000
3000,2,1836,0.600000,1.000000,0.634245,1.000000,0.000000,0,0.000000,-1.000000,1.000000,46817241.000000,35986.000000
3000,3,1809,0.600000,1.000000,0.801064,1.000000,0.000000,0,0.000000,-1.000000,1.000000,46817241.000000,35986.000000
3000,4,1810,0.600000,1.000000,0.730755,1.000000,0.000000,0,0.000000,-1.000000,1.000000,46817241.000000,35986.000000
3000,5,1714,0.600000,1.000000,0.533987,1.000000,0.000000,0,0.000000,-1.000000,1.000000,46817241.000000,35986.000000
3000,6,1826,0.600000,1.000000,0.712559,1.000000,0.000000,0,0.000000,-1.000000,1.000000,46817241.000000,35986.000000
3000,7,1816,0.600000,1.000000,0.729384,1.000000,0.000000,0,0.000000,-1.000000,1.000000,46817241.000000,35986.000000
3000,8,1830,0.600000,1.000000,0.747751,1.000000,0.000000,0,0.000000,-1.000000,1.000000,46817241.000000,35986.000000
3000,9,1830,0.600000,1.000000,0.643153,1.000000,0.000000,0,0.000000,-1.000000,1.000000,46817241.000000,35986.000000
3000,10,1803,0.600000,1.000000,0.693004,1.000000,0.000000,0,0.000000,-1.000000,1.000000,46817241.000000,35986.000000
3000,11,1913,0.600000,1.000000,0.686566,1.000000,0.000000,0,0.000000,-1.000000,1.000000,46817241.000000,35986.000000
